Dataset,Exec_time,RMSE_train,NMSE_train,MAE_train,RMSE_test,NMSE_test,MAE_test,N_nodes,Expr
airfoil,135.578912732,3.3136646286856157,0.23052427403004658,2.549100056844589,3.432109585115904,0.24806814726094734,2.497846557130154,57,-192.659*log(1.0+1.0*(x_1^-1.0 * x_3^-1.0)) + -9.356*log(1.0+1.0*(x_1^-1.0 * x_5^-3.0)) + -16.071*log(1.0+1.0*(x_1^2.0 * x_5^2.0)) + 5.165*log(43.147+3.566508911e6*(x_1^3.0 * x_3^-1.0)) + 72.0
concrete,54.685621707,6.808032553797136,0.16394166257285409,5.3503985977112,7.0506903650923825,0.1861525795508024,5.7307333991448495,57,-2.874*log(1.0+1.0*(x_4^3.0 * x_8^-3.0)) + 0.432*log(1.0+1.0*(x_3^3.0 * x_8^2.0)) + 4.658*log(1.0+1.0*(x_2^2.0 * x_6^-1.0)) + 52.689*log(1.0+1.0*(x_1^1.0 * x_4^-1.0)) + -6.0
energyCooling,51.044573033,2.1422549338116728,0.05066786039655334,1.6887744151614428,2.2392644344027097,0.05497268286934484,1.7289582477888055,54,2.792*sin(81.998+30.43*(x_1^-1.0)) + 2.929*sin(-2.503+-19.523*(x_1^-1.0 * x_2^1.0)) + 2829.229*sqrt(20.075+-237.627*(x_2^-1.0 * x_5^-1.0)) + 0.408*sqrt(18.801+4.788*(x_5^3.0 * x_7^1.0)) + -12635.0
energyHeating,49.097922685,1.4385156671862853,0.020396226853105902,1.1051358748925018,1.820696600289494,0.032285927520405815,1.3409261262582237,54,7.837*cos(1.878+-86.442*(x_2^-1.0 * x_5^3.0)) + 15.473*log(1.0+1.0*(x_4^1.0 * x_5^2.0)) + 30.965*log(1.0+1.0*(x_1^1.0 * x_7^1.0)) + -30.929*log(1.0+1.0*(x_1^3.0)) + -97.0
wineRed,124.640049297,0.6331618047665988,0.6107649651052545,0.48683203056356944,0.6511907080594196,0.6639154983959121,0.5050841508412899,57,0.123*sqrt(1.0+1.0*(x_2^-1.0 * x_5^-1.0)) + 0.642*sqrt(1.0+1.0*(x_9^-1.0 * x_11^2.0)) + -0.877*sqrt(4991.565+4.021*(x_10^-2.0 * x_11^1.0)) + -0.056*sqrt(1.0+1.0*(x_7^1.0 * x_10^2.0)) + 64.0
wineWhite,814.879100187,0.732632327291576,0.6846728532972898,0.5708936235861579,0.735036397808852,0.6868434428880948,0.5772864673616864,57,-1067.045*log(0.7+-0.111*(x_2^-1.0 * x_11^-3.0)) + -1.424*sqrt(1.0+1.0*(x_6^-1.0 * x_11^1.0)) + 0.505*sqrt(1.0+1.0*(x_8^-3.0 * x_11^2.0)) + 0.004*sqrt(1.0+1.0*(x_4^1.0 * x_5^-2.0)) + -379.0
yacht,31.649849035,1.144940064392877,0.005544827496360305,0.7905794153738273,1.081173462923538,0.00566230386204305,0.8561179105443576,51,1.534*identity(63.957+284.893*(x_2^-2.0 * x_6^3.0)) + 52309.745*identity(-11.194+0.415*(x_6^3.0)) + -24184.704*log(1.0+1.0*(x_6^3.0)) + 3342.177*sqrt(1.0+1.0*(x_2^3.0 * x_6^2.0)) + 582125.0
geographical,777.379618811,45.283905494018235,0.8188678452571513,35.58940288800771,46.86660710269215,0.8179941305529468,37.334918047238205,45,5.892*cos(61.6+59.361*(x_25^-3.0 * x_86^1.0)) + 24.429*log(1.0+1.0*()) + -24.523*log(1.0+1.0*(x_27^1.0)) + 36.092*sin(43.209+-0.599*(x_9^1.0)) + 35.0
tecator,195.567775393,0.7652350610928148,0.04804882245972137,0.5875760102228562,1.1116088457825588,0.10286712630037137,0.9218488801018366,57,-27.498*log(1.0+1.0*(x_1^-2.0 * x_47^3.0)) + 754.034*log(1.0+1.0*(x_17^-2.0 * x_25^2.0)) + 2248.038*log(2.886+0.471*(x_30^2.0 * x_37^-2.0)) + -112.168*log(1.0+1.0*(x_20^2.0 * x_55^-3.0)) + -3162.0
towerData,3867.129248314,29.483461795061476,0.11364813825070101,21.9336788408516,30.54137247522275,0.11745309778465451,23.05081408421695,57,2.305*identity(-163.799+0.147*(x_1^-2.0 * x_23^3.0)) + -6959.732*log(1.0+1.0*(x_13^2.0 * x_16^-1.0)) + 157284.824*log(1.0+1.0*(x_6^2.0 * x_20^-3.0)) + 139.232*log(1.0+1.0*(x_5^2.0 * x_7^3.0)) + 34189.0
